rfid	lga_mean_12_14	lga_mean_inactive_12_14	lga_mean_to_12_14	lga_loading_phase_intake_12_14	lga_titration_phase_12_14	lga_iti_median_12_14
933000120124701	143	0.666666667	4.333333333	25	66	148.5
933000120138286	85.66666667	1.333333333	291.6666667	0.333333333	24.66666667	140
933000120138579	83.33333333	9	32.33333333	8	19	59
933000120138674	9.333333333	27	0.666666667	0	12	383
933000120138607	26.33333333	184.3333333	1.333333333	3	21	320.5
933000120138437	83	11	9	4	14	266.6666667
933000320046379	68.33333333	1.333333333	9.666666667	10	24	239
933000320046920	2.666666667	3	0	2	4	80
933000320047335	129.6666667	1	4.666666667	25	48	141
933000320047936	115.3333333	7	2.333333333	26	55	186
933000320047941	109	0	8	17	50	205
933000320187088	99	0	2.333333333	10	43	210.5
933000320048589	96.33333333	2.333333333	11.66666667	3	47	225.5
933000320048789	133.3333333	1.333333333	38.33333333	28	57	168
933000320049196	99.33333333	3	15.66666667	8	61	211
933000320188427						
933000120117334	188	364	149.3333333	99	119	47
933000120138300	20	0	3	4.333333333	6	500
933000120138561	76	0	11	12	41	235
933000120138677	143.3333333	1	88.33333333	34	65	136
933000120138406	71.33333333	0	5.333333333	9	32	284
933000320046605	147.3333333	1	9.666666667	24	64	141
933000320046131	86.66666667	0	0.666666667	10	27	252
933000320047115	87.33333333	0.333333333	7.333333333	11	38	253
933000320047330	108	2	5	17	54	199
933000320047949	35.66666667	28	20	8	32	132.5
933000320187246	98	0.333333333	2	26	39	223
933000320187093	88	4	5.666666667	6	47	223
933000320048760	83.66666667	1	5.666666667	5	43	244
933000320048800	87.66666667	0.333333333	2.333333333	20	37	245.5
933000320188255	189	849	333.3333333	64	66	71.5
933000320499687						
933000120117343	119	1	8.333333333	26	56	177
933000120138282	128.6666667	21.66666667	69.33333333	16	49	51
933000120138648	130.6666667	1.333333333	14	19	66	160
933000120138666	126	1.333333333	7.666666667	23	56	173
933000120138411	125	0	6	25	60	174
933000320046613	127	1617	20	14	71	117
933000320045744	113.3333333	1	8.666666667	25	44	190
933000320047116	88.66666667	3	3	3	52	203
933000320046836						
933000320047665	109.3333333	0.666666667	28.66666667	23	57	125
933000320186953	97	1	5.333333333	6	49	202.5
933000320187098	9.333333333	4.666666667	0.333333333	0	10	163
933000320048583	122	0	12.66666667	26	59	156
933000320049142	84	0.666666667	6	12	37	242
933000320187741	106.6666667	1	4	14	49	202
933000320187998	140	0.333333333	34	30	64	157
933000120117355	111	0.333333333	6.333333333	22	50	190
933000120138279	77.66666667	0	22.66666667	0	44	171
933000120138642	99	2.666666667	23.66666667	17	44	223
933000120138663	78.33333333	9.666666667	6.666666667	8	50	196.5
933000120138432						
933000320045781	119	0	1.333333333	12	56	176
933000320045735	10	1.333333333	1.333333333	7	9	944
933000320046915	93.66666667	0	0.333333333	8	46	217
933000320047387	150.3333333	1.666666667	26	23	76	141
933000320047897	145.3333333	4.333333333	10.33333333	22	73	151
933000320186954	0	0	5.333333333			
933000320187081	91	2	186	10	19	36
933000320048212	97	0.333333333	12.33333333	13	49	207
933000320048985	63.33333333	181.3333333	8	7	31	271
933000320187947	10.66666667	14	0.333333333	3	10	1572
933000320188295	95.66666667	3.333333333	18	20	40	137
933000120117346	115	0	3.333333333	16	52	181
933000120138271	125.6666667	0	12	28	54	178
933000120138559	128.6666667	8.666666667	68.33333333	26	52	165
933000120138387	133.3333333	0	10.33333333	30	57	157
933000120138726	36	4	9.666666667	2.333333333	1.666666667	450
933000320045792	141	6.666666667	229	9	94	32
933000320046092	119	0	0	17	63	177
933000320047144	7.333333333	0.333333333	1.333333333	6	2	166
933000320047383	131.3333333	4	5	14	55	161
933000320047666	63	0	8	10	18	368
933000320186994	27.33333333	6	7.666666667	3	13	65
933000320187092	83.66666667	0	24.33333333	9	38	260.5
933000320048527	137.6666667	0	1	25	65	158
933000320049131	114	2.333333333	6.666666667	11	52	190
933000320188113	113.3333333	2.666666667	35.33333333	30	54	188
933000320188292	4	0.666666667	1.333333333	1	1	507
933000120124699	159.3333333	1.333333333	224	44	69	72
933000120138353	107	0.333333333	37	21	47	199
933000120138556	155	3	10.66666667	18	73	135
933000120138405	84.66666667	0	12.66666667	3	39	253
933000120138410	143	0	13.66666667	8.666666667	12.33333333	150
933000320045777	132.6666667	4	13.33333333	12	72	129
933000320045670	21	1	0	4	22	541
933000320047130	113.6666667	0	8.666666667	35	50	193.5
933000320047376	169	4.333333333	1.333333333	31	70	123
933000320047900	94	2.333333333	10	11	45	227
933000320186957	55	2	3	4	53	157
933000320187077	71.33333333	1	3.333333333	4	37	285
933000320048533	97.66666667	0.333333333	10.33333333	9	40	201.5
933000320048638	102.6666667	0	7	21	47	223
933000320187945	90	1	6.333333333	18	41	243
933000320188280						
933000320188311	74.66666667	4	4	5	46	207
933000120124700	0.666666667	0	0	2	0	
933000120138340	104	2	19	19	46	209
933000120138647	107	1	3	18	49	200
933000120138390	74	3.333333333	6	6.333333333	9.666666667	233.3333333
933000120138712	118	0	45	2.333333333	5.666666667	333.3333333
933000320045787	0.666666667	1	0.333333333	0	2	
933000320045660	103.6666667	0	2.666666667	14	49	204
933000320047277	61.33333333	13	5	2	37	243
933000320047165	68	42.33333333	9	6	52	148
933000320047670	88.66666667	0	7.333333333	14	40	211
933000320186959	122	2.333333333	6.666666667	23	53	172
933000320187171						
933000320048214	89.66666667	0	4	15	38	240
933000320048642	98.33333333	0	0.666666667	5	58	189
933000320187941	105.3333333	0.333333333	4	18	43	205
933000320188300	46.66666667	4.666666667	15.33333333	5	36	95
933000320188497	118.6666667	41	43.33333333	2	78	58
